mid_pirce,Timestamp
38806500.0,2023-05-04 18:32:59
38806500.0,2023-05-04 18:33:00
38806500.0,2023-05-04 18:33:01
38806500.0,2023-05-04 18:33:02
38806500.0,2023-05-04 18:33:03
38806500.0,2023-05-04 18:33:04
38806500.0,2023-05-04 18:33:06
38806500.0,2023-05-04 18:33:07
38806500.0,2023-05-04 18:33:08
38805000.0,2023-05-04 18:33:09
38805000.0,2023-05-04 18:33:10
38805000.0,2023-05-04 18:33:11
38805000.0,2023-05-04 18:33:12
38805000.0,2023-05-04 18:33:13
38805000.0,2023-05-04 18:33:14
38805000.0,2023-05-04 18:33:15
38805000.0,2023-05-04 18:33:16
38805000.0,2023-05-04 18:33:17
38805000.0,2023-05-04 18:33:19
38805000.0,2023-05-04 18:33:20
38805000.0,2023-05-04 18:33:21
38805000.0,2023-05-04 18:33:22
38805000.0,2023-05-04 18:33:23
38805000.0,2023-05-04 18:33:24
38805000.0,2023-05-04 18:33:25
38805000.0,2023-05-04 18:33:26
38805000.0,2023-05-04 18:33:27
38805000.0,2023-05-04 18:33:28
38805000.0,2023-05-04 18:33:30
38805000.0,2023-05-04 18:33:31
38805000.0,2023-05-04 18:33:32
38805000.0,2023-05-04 18:33:33
38805000.0,2023-05-04 18:33:34
38805000.0,2023-05-04 18:33:35
38805000.0,2023-05-04 18:33:36
38805000.0,2023-05-04 18:33:37
38804000.0,2023-05-04 18:33:38
38804000.0,2023-05-04 18:33:39
38803500.0,2023-05-04 18:33:41
38803500.0,2023-05-04 18:33:42
38803500.0,2023-05-04 18:33:43
38803500.0,2023-05-04 18:33:44
38803500.0,2023-05-04 18:33:45
38803500.0,2023-05-04 18:33:46
38803500.0,2023-05-04 18:33:47
38803500.0,2023-05-04 18:33:48
38803500.0,2023-05-04 18:33:49
38803500.0,2023-05-04 18:33:50
38803500.0,2023-05-04 18:33:51
38803500.0,2023-05-04 18:33:52
38803500.0,2023-05-04 18:33:54
38804500.0,2023-05-04 18:33:55
38804500.0,2023-05-04 18:33:56
38804500.0,2023-05-04 18:33:57
38804500.0,2023-05-04 18:33:58
38804500.0,2023-05-04 18:33:59
38804500.0,2023-05-04 18:34:00
38804500.0,2023-05-04 18:34:01
38802000.0,2023-05-04 18:34:02
38802000.0,2023-05-04 18:34:03
38802000.0,2023-05-04 18:34:04
38802000.0,2023-05-04 18:34:05
38802000.0,2023-05-04 18:34:07
38802000.0,2023-05-04 18:34:08
38802000.0,2023-05-04 18:34:09
38802000.0,2023-05-04 18:34:10
38802000.0,2023-05-04 18:34:11
38802000.0,2023-05-04 18:34:12
38802000.0,2023-05-04 18:34:13
38802000.0,2023-05-04 18:34:14
38802000.0,2023-05-04 18:34:15
38802000.0,2023-05-04 18:34:16
38802000.0,2023-05-04 18:34:17
38804000.0,2023-05-04 18:34:18
38804000.0,2023-05-04 18:34:20
38804000.0,2023-05-04 18:34:21
38804000.0,2023-05-04 18:34:22
38804000.0,2023-05-04 18:34:23
38804000.0,2023-05-04 18:34:24
38804000.0,2023-05-04 18:34:25
38804000.0,2023-05-04 18:34:26
38804000.0,2023-05-04 18:34:27
38804000.0,2023-05-04 18:34:28
38804000.0,2023-05-04 18:34:29
38804000.0,2023-05-04 18:34:30
38804000.0,2023-05-04 18:34:31
38804000.0,2023-05-04 18:34:33
38804000.0,2023-05-04 18:34:34
38806500.0,2023-05-04 18:34:35
38806500.0,2023-05-04 18:34:36
38806500.0,2023-05-04 18:34:37
38806500.0,2023-05-04 18:34:38
38806500.0,2023-05-04 18:34:39
38806500.0,2023-05-04 18:34:40
38804000.0,2023-05-04 18:34:41
38804000.0,2023-05-04 18:34:42
38804000.0,2023-05-04 18:34:43
38804000.0,2023-05-04 18:34:44
38806000.0,2023-05-04 18:34:45
38806000.0,2023-05-04 18:34:47
38804000.0,2023-05-04 18:34:48
38804000.0,2023-05-04 18:34:49
38804000.0,2023-05-04 18:34:50
38804000.0,2023-05-04 18:34:51
38804000.0,2023-05-04 18:34:52
38804000.0,2023-05-04 18:34:53
38804000.0,2023-05-04 18:34:54
38804000.0,2023-05-04 18:34:55
38804000.0,2023-05-04 18:34:56
38804000.0,2023-05-04 18:34:57
38804000.0,2023-05-04 18:34:58
38808000.0,2023-05-04 18:35:00
38808000.0,2023-05-04 18:35:01
38808000.0,2023-05-04 18:35:02
38808000.0,2023-05-04 18:35:03
38808000.0,2023-05-04 18:35:04
38808500.0,2023-05-04 18:35:05
38808500.0,2023-05-04 18:35:06
38808500.0,2023-05-04 18:35:07
38808500.0,2023-05-04 18:35:08
38807500.0,2023-05-04 18:35:09
38808500.0,2023-05-04 18:35:10
38808500.0,2023-05-04 18:35:11
38808500.0,2023-05-04 18:35:12
38808500.0,2023-05-04 18:35:14
38808500.0,2023-05-04 18:35:15
38807500.0,2023-05-04 18:35:16
38807500.0,2023-05-04 18:35:17
38807500.0,2023-05-04 18:35:18
38808500.0,2023-05-04 18:35:19
38808500.0,2023-05-04 18:35:20
38808500.0,2023-05-04 18:35:21
38808500.0,2023-05-04 18:35:22
38808500.0,2023-05-04 18:35:23
38808500.0,2023-05-04 18:35:24
38808500.0,2023-05-04 18:35:26
38808500.0,2023-05-04 18:35:27
38808500.0,2023-05-04 18:35:28
38808500.0,2023-05-04 18:35:29
38808500.0,2023-05-04 18:35:30
38808500.0,2023-05-04 18:35:31
38807500.0,2023-05-04 18:35:32
38808500.0,2023-05-04 18:35:33
38808500.0,2023-05-04 18:35:34
38808500.0,2023-05-04 18:35:35
38808500.0,2023-05-04 18:35:36
38809000.0,2023-05-04 18:35:37
38807500.0,2023-05-04 18:35:39
38834500.0,2023-05-04 18:35:40
38840500.0,2023-05-04 18:35:41
38839000.0,2023-05-04 18:35:42
38839000.0,2023-05-04 18:35:43
